 Line, Type of investment,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,
,,2006,,,,2007 ,,,,2008,,,,2009 ,,,,2010,,,,2011 ,,,,2012,,,,2013 ,,,,2014,,,,2015 ,,,,2016,,,,2017 ,,
,,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III
1,U.S. net international investment position (line 4 less line 35),-1656271,-1679424,-2006413,-1808474,-1654830,-1422046,-1232107,-1279493,-1849701,-1835095,-3309696,-3995303,-3856708,-3200061,-2670164,-2627626,-2769546,-3181212,-2746809,-2511788,-2638599,-2785715,-4133952,-4454997,-4547907,-5222050,-4953117,-4518300,-5042555,-5467480,-4933500,-5372654,-5439735,-5434684,-6175444,-6980245,-6908374,-6818773,-7346438,-7493479,-7833442,-8292111,-8035870,-8318378,-8091616,-8004133,-7768745
14,          Long term,1054251,1114349,1214438,1299281,1390060,1465702,1573519,1630165,1659850,1573348,1364843,1258288,1281373,1444856,1593378,1625768,1685518,1678247,1809406,1787310,1853998,1929578,1955276,1953663,1995931,2002974,2132183,2247195,2278886,2188415,2225257,2283544,2354553,2486709,2462159,2486440,2476629,2432879,2346911,2325977,2359247,2418927,2472802,2419912,2516990,2594229,2661797
15,"      Financial derivatives other than reserves, gross positive fair value",1189856,1296050,1194164,1238995,1255575,1546712,1720605,2559332,4186275,3638417,3241052,6127450,5561851,4054450,4131036,3489779,3429046,4310312,4783698,3652313,3194303,3473224,5213598,4716578,3950239,4155820,3925606,3619761,3248377,2825067,2761416,3017100,2655482,2698782,2789190,3252308,3409198,2492288,2768075,2428241,3039790,3296132,2772997,2208980,1946715,1931341,1705108
16,        Over-the-counter contracts,1168623,1270737,1173055,1213354,1232097,1516672,1687484,2526075,4142982,3575564,3190484,6065174,5525465,4021819,4098904,3460696,3386131,4279105,4754629,3621801,3160764,3442377,5150885,4668527,3903938,4108439,3883568,3585781,3212569,2778730,2718224,2980312,2619651,2664363,2745463,3182186,3340966,2439043,2710710,2384882,2990854,3230555,2723771,2166919,1911266,1893755,1663056
17,          Single-currency interest rate contracts,839046,902011,803357,793057,798480,1004345,936941,1463086,2363064,1825236,1655033,4053356,3722984,2779770,3052513,2596825,2613592,3437872,3915177,2844526,2412085,2697781,4151873,3861581,3207155,3420939,3252272,2973245,2616516,2205507,2171063,2388410,2074736,2190627,2103941,2485718,2619713,1881166,2130450,1842888,2427562,2635110,2273619,1622206,1478391,1428250,1201794
18,          Foreign exchange contracts,139673,159565,148117,176267,169301,196449,279826,290943,436499,349048,356026,497234,328970,298959,331814,277387,253008,298553,358225,330298,319793,322563,428956,323413,281791,270609,264810,280217,276419,268643,258064,307972,271949,221307,403304,419019,473159,350913,366623,344929,379066,422389,282822,386677,272428,297283,281089
19,          Other contracts,189904,209161,221581,244030,264316,315878,470717,772046,1343419,1401280,1179425,1514584,1473511,943090,714577,586484,519531,542680,481227,446977,428886,422033,570056,483533,414992,416891,366486,332319,319634,304580,289097,283930,272966,252429,238218,277449,248094,206964,213637,197065,184226,173056,167330,158036,160447,168222,180173
20,        Exchange-traded contracts,21233,25313,21109,25641,23478,30040,33121,33257,43293,62853,50568,62276,36386,32631,32132,29083,42915,31207,29069,30512,33539,30847,62713,48051,46301,47381,42038,33980,35808,46337,43192,36788,35831,34419,43727,70122,68232,53245,57365,43359,48936,65577,49226,42061,35449,37586,42052
21,      Other investment,3650900,3760430,3839868,4004037,4317610,4632953,4623609,4747993,5095671,5032141,4966064,4974204,4697126,4464995,4544656,4529030,4570889,4666038,4832049,4980084,5142596,4945067,4898673,4868723,4673268,4334824,4420072,4416570,4424961,4332855,4256415,4352549,4377894,4312068,4399125,4252356,4248378,4154221,4116001,3971396,4022245,4150082,4132328,3978948,4066573,4154635,4252539
22,        Currency and deposits,1832846,1946964,1925535,1960739,2040551,2152163,2162639,2316936,2411026,2533051,2539804,2813073,2593808,2469379,2459396,2539562,2568408,2579753,2645762,2767247,2857023,2660233,2622641,2581531,2387671,2047290,2081403,2061681,2035561,2017574,1969225,1975717,1962101,1917437,1935684,1807094,1761964,1749878,1686260,1627520,1709085,1731919,1643698,1559816,1602031,1626590,1693263
23,        Loans,1782347,1776552,1878374,2005912,2238906,2437353,2417277,2382672,2637610,2447737,2377505,2116729,2056224,1951533,2041942,1944389,1958681,2039493,2139786,2161759,2239321,2238836,2221705,2232094,2233187,2233618,2284845,2299165,2334485,2256166,2226337,2323462,2368895,2344906,2415679,2398230,2440915,2359374,2384018,2299123,2265046,2372488,2440927,2373735,2415231,2477823,2507720
